sdg,indicator,unit,location,year,value,is_projected,ci_lower,ci_upper
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2029,1294.129,1,1125.737,1462.52
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2037,1464.646,1,1155.4,1773.892
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2047,1677.793,1,1189.99,2165.595
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2060,1954.883,1,1233.998,2675.769
SDG2 - Zero Hunger,Annual Milk Collection (thousand litres),Thousand Litres,Arvi,2024,88.72,0,,
SDG2 - Zero Hunger,Annual Milk Collection (thousand litres),Thousand Litres,Wardha,2024,397.54,0,,
SDG2 - Zero Hunger,Annual Milk Collection District (thousand litres),Thousand Litres,Wardha,2024,537.98,0,,
SDG2 - Zero Hunger,Artificial Insemination - Achievement Rate (%),%,Arvi,2024,18.4,0,,
SDG2 - Zero Hunger,Artificial Insemination - Actual Achieved,Number,Arvi,2024,3524,0,,
SDG2 - Zero Hunger,Artificial Insemination - Annual Target,Number,Arvi,2024,19154,0,,
SDG2 - Zero Hunger,"Buffalo Ghee (per kg, urban)",\u20b9/kg,Wardha,2024,831.7,0,,
SDG2 - Zero Hunger,"Buffalo Milk (per litre, urban)",\u20b9/litre,Wardha,2024,62.5,0,,
SDG2 - Zero Hunger,"Chemical Fertilizers Used (district, MT)",Metric Tons,Wardha,2024,210702,0,,
SDG2 - Zero Hunger,Children 0-5 years enrolled in Anganwadis,Number,Wardha,2024,64596,0,,
SDG2 - Zero Hunger,Children 0-5 years in Anganwadis,Number,Arvi,2024,7353,0,,
SDG2 - Zero Hunger,Children with MAM (Moderately Acute Malnutrition),Number,Wardha,2024,5278,0,,
SDG2 - Zero Hunger,Children with SAM (Severely Acute Malnutrition),Number,Wardha,2024,955,0,,
SDG2 - Zero Hunger,Cold Storage Capacity (thousand litres),Thousand Litres,Arvi,2024,30,0,,
SDG2 - Zero Hunger,"Cotton Area (district, ha)",Hectares,Wardha,2024,214156,0,,
SDG2 - Zero Hunger,Cotton Area (ha),Hectares,Arvi,2024,23406,0,,
SDG2 - Zero Hunger,Cotton Production YoY Change (%),%,Wardha,2024,34.25,0,,
SDG2 - Zero Hunger,Cotton Productivity (kg/ha),Kg/Ha,Arvi,2024,545,0,,
SDG2 - Zero Hunger,Cropping Intensity (%),%,Arvi,2024,115.66,0,,
SDG2 - Zero Hunger,Cultivable Land (ha),Hectares,Arvi,2024,48585,0,,
SDG2 - Zero Hunger,Cultivable Land (ha),Hectares,Wardha,2024,61778,0,,
SDG2 - Zero Hunger,Cultivators (Main) (Total) — Workers by Industry,,Arvi,2011,1170,0,,
SDG2 - Zero Hunger,Cultivators (Main) (Total) — Workers by Industry,,Wardha,2011,8916,0,,
SDG2 - Zero Hunger,Cultivators - Census 2011,Number,Arvi,2011,14800,0,,
SDG2 - Zero Hunger,Cultivators - Census 2011,Number,Wardha,2011,22400,0,,
