SDG Goal,SDG Goal Name,Indicator Code,Metric Name,Geography,Level,Year,Value,Unit,Source,Projected?
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2017,"20,732.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2018,"22,177.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2019,"22,703.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2020,"25,603.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2021,"28,759.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2022,"26,419.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2023,"28,332.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Sanjay Gandhi Niradhar Anudan,Wardha,District,2024,"33,933.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2016,"49,958.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2017,"55,357.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2018,"57,830.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2019,"59,288.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2020,"64,646.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2021,"54,233.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2022,"66,002.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2023,"67,452.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.3.6,Beneficiaries - Shravanbal Seva State Pension,Wardha,District,2024,"44,163.00",Number,MahaSDB,no
1,No Poverty,SDG1.1.4.8,Fair Price Shops,Arvi,Taluka,2024,128,Number,SER,no
1,No Poverty,SDG1.1.4.8,Fair Price Shops,Wardha,Taluka,2024,152,Number,SER,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2016,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2017,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2018,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2019,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2020,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2021,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2022,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2023,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2024,95.24,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Children (6-71 months),Wardha,District,2025,97.09,%,MahaSDB [advance release],observed_advance
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2016,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2017,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2018,97.1,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2019,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2020,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2021,97.1,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2022,97.1,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2023,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2024,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Lactating Mothers,Wardha,District,2025,96.75,%,MahaSDB [advance release],observed_advance
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2016,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2017,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2018,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2019,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2020,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2021,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2022,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2023,97.09,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2024,97.08,%,MahaSDB,no
1,No Poverty,SDG1.1.3.2,ICDS beneficiaries - Pregnant Women,Wardha,District,2025,91.36,%,MahaSDB [advance release],observed_advance
1,No Poverty,SDG1.1.3.6,Indira Gandhi National Old Age Pension Beneficiaries,Arvi,Taluka,2024,"3,075.00",Number,SER,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2016,"1,269.98",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2017,"1,365.55",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2018,"1,449.29",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2019,"1,743.06",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2020,"2,088.75",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2021,"1,668.48",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2022,"1,929.37",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2023,"2,719.95",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.4.5,No. of accounts (deposit & credit) of scheduled commercial banks per 1000 population,Wardha,District,2024,"2,958.79",Per 1000 population,MahaSDB,no
1,No Poverty,SDG1.1.5.1,"No. of deaths attributed to disasters and natural calamities (flood, severe drought etc.)",Wardha,District,2016,10,Number,MahaSDB,no
